Data de captura,Hora de captura,Categoria,Descripció,Preu unitari,Preu/kg,URL,Imatge,Disponibilitat
08-04-2025,19:15:17,Productos Frescos,Fresón tarrina origen Huelva 500 g,"2,45 €","4,90 €/kg",https://www.carrefour.es/supermercado/freson-tarrina-origen-huelva-500-g/R-521032196/p,https://static.carrefour.es/hd_350x_/img_pim_food/035923_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Banana a granel 1 Kg aprox,,"1,09 €/kg",https://www.carrefour.es/supermercado/banana-a-granel-1-kg-aprox/R-529921745/p,https://static.carrefour.es/hd_350x_/img_pim_food/035834_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Queso en lonchas mozzarella en lonchas Arla 150 g.,"3,55 €","20,29 €/kg",https://www.carrefour.es/supermercado/queso-en-lonchas-mozzarella-en-lonchas-arla-150-g/R-814300555/p,https://static.carrefour.es/hd_350x_/img_pim_food/938131_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Queso fresco cottage Protein Arla 200 g.,"2,35 €","11,75 €/kg",https://www.carrefour.es/supermercado/queso-fresco-cottage-protein-arla-200-g/R-prod650321/p,https://static.carrefour.es/hd_350x_/img_pim_food/844924_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Barra de pan pistola Carrefour 250 g,"0,46 €","1,84 €/kg",https://www.carrefour.es/supermercado/barra-de-pan-pistola-carrefour-250-g/R-527063193/p,https://static.carrefour.es/hd_350x_/img_pim_food/216537_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Plátano Carrefour 900 g aprox,"2,87 €","3,19 €/kg",https://www.carrefour.es/supermercado/platano-carrefour-900-g-aprox/R-VC4AECOMM-779025/p,https://static.carrefour.es/hd_350x_/img_pim_food/779025_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Baguette Carrefour 1 ud,"0,55 €","2,20 €/kg",https://www.carrefour.es/supermercado/baguette-carrefour-1-ud/R-525964668/p,https://static.carrefour.es/hd_350x_/img_pim_food/262274_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Barra de pan pistola Carrefour 3 ud,"1,09 €","0,36 €/ud",https://www.carrefour.es/supermercado/barra-de-pan-pistola-carrefour-3-ud/R-575702279/p,https://static.carrefour.es/hd_350x_/img_pim_food/668138_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Zanahoria Carrefour 1 kg,"0,99 €","0,99 €/kg",https://www.carrefour.es/supermercado/zanahoria-carrefour-1-kg/R-fprod1410012/p,https://static.carrefour.es/hd_350x_/img_pim_food/235422_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Crema de queso Original Philadelphia 350 g.,"3,65 €","10,43 €/kg",https://www.carrefour.es/supermercado/crema-de-queso-original-philadelphia-350-g/R-704404251/p,https://static.carrefour.es/hd_350x_/img_pim_food/409343_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,"Calabacín Carrefour a granel 1,2 kg aprox",,"1,39 €/kg",https://www.carrefour.es/supermercado/calabacin-carrefour-a-granel-12-kg-aprox/R-VC4AECOMM-431967/p,https://static.carrefour.es/hd_350x_/img_pim_food/431967_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Tomate pera Carrefour 1 kg aprox,"2,05 €","2,05 €/kg",https://www.carrefour.es/supermercado/tomate-pera-carrefour-1-kg-aprox/R-VC4AECOMM-646403/p,https://static.carrefour.es/hd_350x_/img_pim_food/646403_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Pimiento rojo  granel 1 Kg aprox,"2,25 €","2,25 €/kg",https://www.carrefour.es/supermercado/pimiento-rojo-granel-1-kg-aprox/R-532601619/p,https://static.carrefour.es/hd_350x_/img_pim_food/050255_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Queso rallado cuatro quesos Carrefour 200 g.,,"9,50 €/kg",https://www.carrefour.es/supermercado/queso-rallado-cuatro-quesos-carrefour-200-g/R-521030772/p,https://static.carrefour.es/hd_350x_/img_pim_food/712501_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Guacamole Carrefour 200 g,"1,69 €","8,45 €/kg",https://www.carrefour.es/supermercado/guacamole-carrefour-200-g/R-prod1160715/p,https://static.carrefour.es/hd_350x_/img_pim_food/208412_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Berlina Fondant Donuts 204 g.,"2,99 €","14,66 €/kg",https://www.carrefour.es/supermercado/berlina-fondant-donuts-204-g/R-590204453/p,https://static.carrefour.es/hd_350x_/img_pim_food/153863_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Bacón sabor ahumado en tiras Carrefour El Mercado sin gluten pack de 2 unidades de 100 g,"2,45 €","12,25 €/kg",https://www.carrefour.es/supermercado/bacon-sabor-ahumado-en-tiras-carrefour-el-mercado-sin-gluten-pack-de-2-unidades-de-100-g/R-VC4AECOMM-710259/p,https://static.carrefour.es/hd_350x_/img_pim_food/710259_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Pimiento verde Italiano 1 kg aprox,"2,59 €","2,59 €/kg",https://www.carrefour.es/supermercado/pimiento-verde-italiano-1-kg-aprox/R-536001616/p,https://static.carrefour.es/hd_350x_/img_pim_food/050257_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Tomate ensalada 1 kg aprox,"1,95 €","1,95 €/kg",https://www.carrefour.es/supermercado/tomate-ensalada-1-kg-aprox/R-530067024/p,https://static.carrefour.es/hd_350x_/img_pim_food/050265_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Uva blanca sin pepitas Carrefour bandeja de 500 g,"2,79 €","5,58 €/kg",https://www.carrefour.es/supermercado/uva-blanca-sin-pepitas-carrefour-bandeja-de-500-g/R-fprod1460464/p,https://static.carrefour.es/hd_350x_/img_pim_food/402112_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Crema de queso light Philadelphia 350 g.,"3,65 €","10,43 €/kg",https://www.carrefour.es/supermercado/crema-de-queso-light-philadelphia-350-g/R-704404249/p,https://static.carrefour.es/hd_350x_/img_pim_food/409338_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Cebolla Carrefour 1 kg,"2,40 €","2,40 €/kg",https://www.carrefour.es/supermercado/cebolla-carrefour-1-kg/R-521032276/p,https://static.carrefour.es/hd_350x_/img_pim_food/235457_00_1.jpg,Disponible
08-04-2025,19:15:17,Productos Frescos,Queso gouda holland en lonchas Carrefour 200 g.,"1,64 €","8,20 €/kg",https://www.carrefour.es/supermercado/queso-gouda-holland-en-lonchas-carrefour-200-g/R-521030730/p,https://static.carrefour.es/hd_350x_/img_pim_food/559857_00_1.jpg,Disponible
